country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Seychelles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6800,0,0,0,0,0,0
Syria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199,0,0,185,0,0,0,0
Turks and Caicos Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,1500
Chad,0,0,0,0,0,0,0,113,0,0,0,0,0,0,0,0,0,0,1210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159,0
Thailand,0,0,0,0,0,0,0,0,50,0,0,43.1k,0,0,0,0,0,0,0,200k,36,1.89M,387k,214k,15k,27,343k,50.6k,0,0,41.2k,150,30.2k,5000,9060,3510,0,0,1000
Tajikistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500,0,830,0,0,0,0,0,0,0
Tokelau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1730,0,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0
Timor-Leste,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8730,0,0
Tonga,0,0,0,903,0,0,0,10k,0,0,0,0,147k,0,0,0,0,0,0,0,3100,0,0,0,0,0,0,3000,3570,0,0,16.5k,0,0,0,0,0,0,0
Trinidad and Tobago,0,0,0,0,50k,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,561,0,0,0,0
Turkey,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,30,0,0,0,0,0,0,0,14,0,1660,0,0,0,0
Tuvalu,0,0,706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,700,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Taiwan,0,0,0,0,0,0,0,11.6k,0,0,0,26,0,82,0,0,65,2260,0,13,20k,37,8,0,633,0,65,122,400k,0,2210,653k,8,3,8950,1660,803,2900,135
Tanzania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2500,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uganda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10k,0,100,0,0,0,0,0,0
Ukraine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,11,0,0,48.1k,0,0,0,0,0,0,7550,0
Uruguay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,0,0,501,0,1000,100,0,1500,0,0,19,0,0,0
USA,37,158,256,296,352,302,0,91,215,2350,582,30,52k,6130,15.8k,1.02M,81,3350,27,25.2k,10.8k,3090,295k,891,21.9k,86.3k,4420,5070,154k,3.06M,23.5k,181k,19.2k,244k,5.08M,832k,5760,8560,2.3M
USSR,0,0,0,0,0,0,0,0,0,0,0,10k,0,0,400,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
St. Vincent and the Grenadines,0,0,0,0,0,0,0,0,0,0,20.5k,0,0,0,0,0,0,208,0,0,0,0,0,0,0,0,0,0,0,100,0,0,4,0,1000,530,0,0,0
Venezuela,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,6000,0,0,0,0,0,0,0,0,0,0,1740,0,0,0,0
British Virgin Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
Virgin Islands (U.S.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10k,0,0,0,0,0,10k,0,0,0,3,0,0,0,0,0,0,0,0,0
Vietnam,0,50.1k,0,150k,0,0,0,1000,0,0,15.7M,0,1.3M,1.18M,652k,451k,2.5M,937k,1.32M,6.42M,502k,478k,79.4k,39k,11k,23.1k,668k,1.08M,2.53M,10,14.6k,201k,1800,5020,501k,368k,3.3M,686k,157k
Vanuatu,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,118k,0,48k,6700,0,0,0,1160,12k,0,0,0,0,2400,32,0,802,0,0,54k,0,0,0,0
Wallis et Futuna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Samoa,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,195k,88k,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0
Yemen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0
South Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,210,500k,0,0,0,0,0,2,0,0,7,2000,0,0,0,178,18.8k,301,654,101k,600,0,0,0,0,3580
Zimbabwe,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0
